trait;type;category;;;
carbon source: butyrate;discreto;sem_relevancia;;;
carbon source: casamino acids;discreto;sem_relevancia;;;
carbon source: chloridazon;discreto;sem_relevancia;;;
carbon source: cholesterol;discreto;sem_relevancia;;;
carbon source: cis-aconitate;discreto;sem_relevancia;;;
carbon source: citraconate;discreto;sem_relevancia;;;
carbon source: citrate;discreto;sem_relevancia;;;
carbon source: citric acid;discreto;sem_relevancia;;;
carbon source: citrulline;discreto;sem_relevancia;;;
carbon source: coumarate;discreto;sem_relevancia;;;
carbon source: creatine;discreto;sem_relevancia;;;
carbon source: creatinine;discreto;sem_relevancia;;;
carbon source: crotonate;discreto;sem_relevancia;;;
carbon source: cysteine;discreto;sem_relevancia;;;
carbon source: cystine;discreto;sem_relevancia;;;
carbon source: cytosine;discreto;sem_relevancia;;;
carbon source: decanoate;discreto;sem_relevancia;;;
carbon source: disodium fumarate;discreto;sem_relevancia;;;
carbon source: disodium malate;discreto;sem_relevancia;;;
carbon source: dl-alanine;discreto;sem_relevancia;;;
carbon source: erythritol;discreto;sem_relevancia;;;
carbon source: esculin;discreto;sem_relevancia;;;
carbon source: esculin ferric citrate;discreto;sem_relevancia;;;
carbon source: ethanol;discreto;sem_relevancia;;;
carbon source: ethanolamine;discreto;sem_relevancia;;;
carbon source: ethylene glycol;discreto;sem_relevancia;;;
carbon source: formate;discreto;sem_relevancia;;;
carbon source: fructose;discreto;sem_relevancia;;;
carbon source: fucose;discreto;sem_relevancia;;;
carbon source: fumarate;discreto;sem_relevancia;;;
carbon source: fusidate;discreto;sem_relevancia;;;
carbon source: galactitol;discreto;sem_relevancia;;;
carbon source: galactonate;discreto;sem_relevancia;;;
carbon source: galactose;discreto;sem_relevancia;;;
carbon source: galacturonate;discreto;sem_relevancia;;;
carbon source: gamma-aminobutyric acid;discreto;sem_relevancia;;;
carbon source: gentiobiose;discreto;sem_relevancia;;;
carbon source: gluconate;discreto;sem_relevancia;;;
carbon source: glucosamine;discreto;sem_relevancia;;;
carbon source: glucose;discreto;sem_relevancia;;;
carbon source: glucuronamide;discreto;sem_relevancia;;;
carbon source: glutamate;discreto;sem_relevancia;;;
carbon source: glycerol;discreto;sem_relevancia;;;
carbon source: glycerol 1-phosphate;discreto;sem_relevancia;;;
carbon source: glycerol 3-phosphate;discreto;sem_relevancia;;;
carbon source: glycine;discreto;sem_relevancia;;;
carbon source: glycine-proline;discreto;sem_relevancia;;;
carbon source: hexanoate;discreto;sem_relevancia;;;
carbon source: histidine;discreto;sem_relevancia;;;
carbon source: inosine;discreto;sem_relevancia;;;
carbon source: itaconate;discreto;sem_relevancia;;;
carbon source: lactate;discreto;sem_relevancia;;;
carbon source: lactose;discreto;sem_relevancia;;;
carbon source: leucine;discreto;sem_relevancia;;;
carbon source: malate;discreto;sem_relevancia;;;
carbon source: malonate;discreto;sem_relevancia;;;
carbon source: maltose;discreto;sem_relevancia;;;
carbon source: maltose hydrate;discreto;sem_relevancia;;;
carbon source: mannitol;discreto;sem_relevancia;;;
carbon source: mannose;discreto;sem_relevancia;;;
carbon source: melanin;discreto;sem_relevancia;;;
carbon source: melezitose;discreto;sem_relevancia;;;
carbon source: melibiose;discreto;sem_relevancia;;;
carbon source: methyl;discreto;sem_relevancia;;;
carbon source: methyl D-glucoside;discreto;sem_relevancia;;;
carbon source: methyl alpha-D-glucopyranoside;discreto;sem_relevancia;;;
carbon source: methyl alpha-D-mannoside;discreto;sem_relevancia;;;
carbon source: methyl pyruvate;discreto;sem_relevancia;;;
carbon source: myo-inositol;discreto;sem_relevancia;;;
carbon source: ornithine;discreto;sem_relevancia;;;
carbon source: peptone;discreto;sem_relevancia;;;
carbon source: phenylacetate;discreto;sem_relevancia;;;
carbon source: phenylalanine;discreto;sem_relevancia;;;
carbon source: phenylethylamine;discreto;sem_relevancia;;;
carbon source: proline;discreto;sem_relevancia;;;
carbon source: propanol;discreto;sem_relevancia;;;
carbon source: propionate;discreto;sem_relevancia;;;
carbon source: putrescine;discreto;sem_relevancia;;;
carbon source: pyruvate;discreto;sem_relevancia;;;
carbon source: quinate;discreto;sem_relevancia;;;
carbon source: raffinose;discreto;sem_relevancia;;;
carbon source: rhamnose;discreto;sem_relevancia;;;
carbon source: ribitol;discreto;sem_relevancia;;;
carbon source: ribose;discreto;sem_relevancia;;;
carbon source: salicin;discreto;sem_relevancia;;;
carbon source: sebacic acid;discreto;sem_relevancia;;;
carbon source: serine;discreto;sem_relevancia;;;
carbon source: sodium acetate;discreto;sem_relevancia;;;
carbon source: sodium citrate;discreto;sem_relevancia;;;
carbon source: sorbitol;discreto;sem_relevancia;;;
carbon source: suberic acid;discreto;sem_relevancia;;;
carbon source: succinate;discreto;sem_relevancia;;;
carbon source: sucrose;discreto;sem_relevancia;;;
carbon source: threonine;discreto;sem_relevancia;;;
carbon source: thymidine;discreto;sem_relevancia;;;
carbon source: trehalose;discreto;sem_relevancia;;;
carbon source: tryptone;discreto;sem_relevancia;;;
carbon source: turanose;discreto;sem_relevancia;;;
carbon source: tween 20;discreto;sem_relevancia;;;
carbon source: tween 40;discreto;sem_relevancia;;;
carbon source: tween 60;discreto;sem_relevancia;;;
carbon source: tween 80;discreto;sem_relevancia;;;
carbon source: urea;discreto;sem_relevancia;;;
carbon source: uridine;discreto;sem_relevancia;;;
carbon source: urocanic acid;discreto;sem_relevancia;;;
carbon source: valerate;discreto;sem_relevancia;;;
carbon source: xylitol;discreto;sem_relevancia;;;
carbon source: xylose;discreto;sem_relevancia;;;
carbon source: yeast extract;discreto;sem_relevancia;;;
cell color;discreto;sem_relevancia;;;
cell color: yellow pigment;discreto;sem_relevancia;;;
cell length;numerico;sem_relevancia;;;
cell length maximum;numerico;sem_relevancia;;;
cell length minimum;numerico;sem_relevancia;;;
cell shape;discreto;sem_relevancia;;;
cell width;numerico;sem_relevancia;;;
cell width maximum;numerico;sem_relevancia;;;
cell width minimum;numerico;sem_relevancia;;;
coding density;numerico;sem_relevancia;;;
degradation: (-)-D-fructose;discreto;sem_relevancia;;;
degradation: (-)-D-rhamnose;discreto;sem_relevancia;;;
degradation: 1;2-dichloroethane;discreto;sem_relevancia;;
degradation: 1;3-beta-d-glucan;discreto;sem_relevancia;;
degradation: 1-chlorobutane;discreto;sem_relevancia;;;
degradation: 1-chloropropane;discreto;sem_relevancia;;;
degradation: 4-nitrophenyl alpha-D-glucopyranoside;discreto;sem_relevancia;;;
degradation: 4-nitrophenyl beta-D-galactopyranoside;discreto;sem_relevancia;;;
degradation: 4-nitrophenyl beta-D-glucopyranoside;discreto;sem_relevancia;;;
degradation: D-arabinose;discreto;sem_relevancia;;;
degradation: D-fructose;discreto;sem_relevancia;;;
degradation: D-glucose;discreto;sem_relevancia;;;
degradation: D-mannose;discreto;sem_relevancia;;;
degradation: D-xylose;discreto;sem_relevancia;;;
degradation: L-glutamate;discreto;sem_relevancia;;;
degradation: L-tyrosine;discreto;sem_relevancia;;;
degradation: acetamide;discreto;sem_relevancia;;;
degradation: acetate;discreto;sem_relevancia;;;
degradation: adenine;discreto;sem_relevancia;;;
degradation: alanine;discreto;sem_relevancia;;;
degradation: allantoin;discreto;sem_relevancia;;;
degradation: arbutin;discreto;sem_relevancia;;;
degradation: arginine;discreto;sem_relevancia;;;
degradation: asparagine;discreto;sem_relevancia;;;
degradation: aspartate;discreto;sem_relevancia;;;
degradation: beta-lactose;discreto;sem_relevancia;;;
degradation: carminate;discreto;sem_relevancia;;;
degradation: citrate;discreto;sem_relevancia;;;
degradation: cysteine;discreto;sem_relevancia;;;
degradation: egg yolk;discreto;sem_relevancia;;;
degradation: esculin;discreto;sem_relevancia;;;
degradation: glucose;discreto;sem_relevancia;;;
degradation: glycine;discreto;sem_relevancia;;;
degradation: histidine;discreto;sem_relevancia;;;
degradation: hypoxanthine;discreto;sem_relevancia;;;
degradation: isoleucine;discreto;sem_relevancia;;;
degradation: isoorientin;discreto;sem_relevancia;;;
degradation: isovitexin;discreto;sem_relevancia;;;
degradation: lactose;discreto;sem_relevancia;;;
degradation: lysine;discreto;sem_relevancia;;;
degradation: maltose;discreto;sem_relevancia;;;
degradation: ornithine;discreto;sem_relevancia;;;
degradation: phenylalanine;discreto;sem_relevancia;;;
degradation: salicin;discreto;sem_relevancia;;;
degradation: sucrose;discreto;sem_relevancia;;;
degradation: tween 20;discreto;sem_relevancia;;;
degradation: tween 40;discreto;sem_relevancia;;;
degradation: tween 60;discreto;sem_relevancia;;;
degradation: tyrosine;discreto;sem_relevancia;;;
electron acceptor: 1;2-butandiol;discreto;sem_relevancia;;
electron acceptor: acetate;discreto;sem_relevancia;;;
electron acceptor: alanine;discreto;sem_relevancia;;;
electron acceptor: amorphous fe(iii) oxyhydroxid;discreto;sem_relevancia;;;
electron acceptor: amorphous iron (iii) oxide;discreto;sem_relevancia;;;
electron acceptor: anthraquinone-2;6-disulfonic acid;discreto;sem_relevancia;;
electron acceptor: antimonate;discreto;sem_relevancia;;;
electron acceptor: arabinose;discreto;sem_relevancia;;;
electron acceptor: arginine;discreto;sem_relevancia;;;
electron acceptor: arsenate;discreto;sem_relevancia;;;
electron acceptor: asparagine;discreto;sem_relevancia;;;
electron acceptor: aspartate;discreto;sem_relevancia;;;
electron acceptor: benzoate;discreto;sem_relevancia;;;
electron acceptor: betaine;discreto;sem_relevancia;;;
electron acceptor: butyrate;discreto;sem_relevancia;;;
electron acceptor: cellobiose;discreto;sem_relevancia;;;
electron acceptor: choline;discreto;sem_relevancia;;;
electron acceptor: chromate;discreto;sem_relevancia;;;
electron acceptor: cysteine;discreto;sem_relevancia;;;
electron acceptor: dihydrogen;discreto;sem_relevancia;;;
electron acceptor: dimethyl sulfide;discreto;sem_relevancia;;;
electron acceptor: dimethyl sulfoxide;discreto;sem_relevancia;;;
electron acceptor: dinitrogen oxide;discreto;sem_relevancia;;;
electron acceptor: dioxygen;discreto;sem_relevancia;;;
electron acceptor: dithionite;discreto;sem_relevancia;;;
electron acceptor: ethylenediaminetetraacetatoferrate;discreto;sem_relevancia;;;
electron acceptor: fumarate;discreto;sem_relevancia;;;
electron acceptor: glutamate;discreto;sem_relevancia;;;
electron acceptor: methanol;discreto;sem_relevancia;;;
electron acceptor: methylamine;discreto;sem_relevancia;;;
electron acceptor: nitrate;discreto;sem_relevancia;;;
electron acceptor: nitrite;discreto;sem_relevancia;;;
electron donor: 1;2-propandiol;discreto;sem_relevancia;;
electron donor: 2-oxoglutarate;discreto;sem_relevancia;;;
electron donor: 2-propanol;discreto;sem_relevancia;;;
electron donor: D-arabinose;discreto;sem_relevancia;;;
electron donor: D-fructose;discreto;sem_relevancia;;;
electron donor: D-glucose;discreto;sem_relevancia;;;
electron donor: D-mannose;discreto;sem_relevancia;;;
electron donor: D-ribose;discreto;sem_relevancia;;;
electron donor: N-acetyl-D-glucosamine;discreto;sem_relevancia;;;
electron donor: acetate;discreto;sem_relevancia;;;
electron donor: acetoacetate;discreto;sem_relevancia;;;
electron donor: alanine;discreto;sem_relevancia;;;
electron donor: alpha-D-glucose;discreto;sem_relevancia;;;
electron donor: amino acid;discreto;sem_relevancia;;;
electron donor: ammonium;discreto;sem_relevancia;;;
electron donor: arabinose;discreto;sem_relevancia;;;
electron donor: arginine;discreto;sem_relevancia;;;
electron donor: ascorbate;discreto;sem_relevancia;;;
electron donor: aspartate;discreto;sem_relevancia;;;
electron donor: benzene;discreto;sem_relevancia;;;
electron donor: benzoate;discreto;sem_relevancia;;;
electron donor: betaine;discreto;sem_relevancia;;;
electron donor: butanol;discreto;sem_relevancia;;;
electron donor: butyrate;discreto;sem_relevancia;;;
electron donor: casamino acids;discreto;sem_relevancia;;;
electron donor: cellobiose;discreto;sem_relevancia;;;
electron donor: choline;discreto;sem_relevancia;;;
electron donor: citrate;discreto;sem_relevancia;;;
electron donor: crotonate;discreto;sem_relevancia;;;
electron donor: cysteine;discreto;sem_relevancia;;;
electron donor: decanoate;discreto;sem_relevancia;;;
electron donor: dihydrogen;discreto;sem_relevancia;;;
electron donor: dithionite;discreto;sem_relevancia;;;
electron donor: ethanol;discreto;sem_relevancia;;;
electron donor: formate;discreto;sem_relevancia;;;
electron donor: fructose;discreto;sem_relevancia;;;
electron donor: fumarate;discreto;sem_relevancia;;;
electron donor: glucose;discreto;sem_relevancia;;;
electron donor: glycerol;discreto;sem_relevancia;;;
electron donor: isoleucine;discreto;sem_relevancia;;;
electron donor: lactate;discreto;sem_relevancia;;;
electron donor: malate;discreto;sem_relevancia;;;
electron donor: maltose;discreto;sem_relevancia;;;
electron donor: manganese;discreto;sem_relevancia;;;
electron donor: propanol;discreto;sem_relevancia;;;
electron donor: propionate;discreto;sem_relevancia;;;
electron donor: pyruvate;discreto;sem_relevancia;;;
electron donor: serine;discreto;sem_relevancia;;;
electron donor: succinate;discreto;sem_relevancia;;;
electron donor: sulfite;discreto;sem_relevancia;;;
electron donor: tetrathionate;discreto;sem_relevancia;;;
electron donor: thiocyanate;discreto;sem_relevancia;;;
electron donor: thiosulfate;discreto;sem_relevancia;;;
electron donor: trithionate;discreto;sem_relevancia;;;
electron donor: yeast extract;discreto;sem_relevancia;;;
energy source: (R)-malic acid;discreto;sem_relevancia;;;
energy source: (S)-lactate;discreto;sem_relevancia;;;
energy source: (S)-malic acid;discreto;sem_relevancia;;;
energy source: 2;3-butanediol;discreto;sem_relevancia;;
energy source: 2-dehydro-D-gluconate;discreto;sem_relevancia;;;
energy source: 2-deoxyadenosine;discreto;sem_relevancia;;;
energy source: 2-hydroxybutyrate;discreto;sem_relevancia;;;
energy source: 2-oxobutanoate;discreto;sem_relevancia;;;
energy source: 2-oxoglutarate;discreto;sem_relevancia;;;
energy source: 2-oxopentanoate;discreto;sem_relevancia;;;
energy source: 2-propanol;discreto;sem_relevancia;;;
energy source: 3-O-methyl-D-glucose;discreto;sem_relevancia;;;
energy source: 3-hydroxybenzoate;discreto;sem_relevancia;;;
energy source: 3-hydroxybutyrate;discreto;sem_relevancia;;;
energy source: 3-methylglucose;discreto;sem_relevancia;;;
energy source: 3-nitropropanoate;discreto;sem_relevancia;;;
energy source: 4-aminobutyrate;discreto;sem_relevancia;;;
energy source: 4-hydroxy-L-proline;discreto;sem_relevancia;;;
energy source: 4-hydroxybenzoate;discreto;sem_relevancia;;;
energy source: 4-hydroxybutyrate;discreto;sem_relevancia;;;
energy source: 4-hydroxyphenylacetic acid;discreto;sem_relevancia;;;
energy source: 5-dehydro-D-gluconate;discreto;sem_relevancia;;;
energy source: D-alanine;discreto;sem_relevancia;;;
energy source: D-arabinose;discreto;sem_relevancia;;;
energy source: D-arabitol;discreto;sem_relevancia;;;
energy source: D-aspartate;discreto;sem_relevancia;;;
energy source: D-fructose;discreto;sem_relevancia;;;
energy source: D-fructose 6-phosphate;discreto;sem_relevancia;;;
energy source: D-fucose;discreto;sem_relevancia;;;
energy source: D-galactose;discreto;sem_relevancia;;;
energy source: D-gluconate;discreto;sem_relevancia;;;
energy source: D-glucose;discreto;sem_relevancia;;;
energy source: D-mannitol;discreto;sem_relevancia;;;
energy source: D-mannose;discreto;sem_relevancia;;;
energy source: D-ribose;discreto;sem_relevancia;;;
energy source: D-sorbitol;discreto;sem_relevancia;;;
energy source: L-alanine;discreto;sem_relevancia;;;
energy source: L-arginine;discreto;sem_relevancia;;;
energy source: L-cystine;discreto;sem_relevancia;;;
energy source: L-glutamate;discreto;sem_relevancia;;;
energy source: L-histidine;discreto;sem_relevancia;;;
energy source: L-phenylalanine;discreto;sem_relevancia;;;
energy source: acetate;discreto;sem_relevancia;;;
energy source: acetic acid;discreto;sem_relevancia;;;
energy source: acetoacetate;discreto;sem_relevancia;;;
energy source: adenosine;discreto;sem_relevancia;;;
energy source: adipate;discreto;sem_relevancia;;;
energy source: alanine;discreto;sem_relevancia;;;
energy source: alpha-D-glucose;discreto;sem_relevancia;;;
energy source: alpha-hydroxybutyrate;discreto;sem_relevancia;;;
energy source: alpha-lactose;discreto;sem_relevancia;;;
energy source: ammonia;discreto;sem_relevancia;;;
energy source: amp;discreto;sem_relevancia;;;
energy source: amygdalin;discreto;sem_relevancia;;;
energy source: arabinitol;discreto;sem_relevancia;;;
energy source: arabinose;discreto;sem_relevancia;;;
energy source: arbutin;discreto;sem_relevancia;;;
energy source: arginine;discreto;sem_relevancia;;;
energy source: ascorbate;discreto;sem_relevancia;;;
energy source: aspartate;discreto;sem_relevancia;;;
energy source: benzoate;discreto;sem_relevancia;;;
energy source: benzoin;discreto;sem_relevancia;;;
energy source: beta-D-glucuronic acid;discreto;sem_relevancia;;;
energy source: beta-hydroxybutyrate;discreto;sem_relevancia;;;
energy source: betaine;discreto;sem_relevancia;;;
energy source: bromosuccinate;discreto;sem_relevancia;;;
energy source: butanol;discreto;sem_relevancia;;;
energy source: butyrate;discreto;sem_relevancia;;;
energy source: carbon dioxide;discreto;sem_relevancia;;;
energy source: carbon disulfide;discreto;sem_relevancia;;;
energy source: casamino acids;discreto;sem_relevancia;;;
energy source: citrate;discreto;sem_relevancia;;;
energy source: citric acid;discreto;sem_relevancia;;;
energy source: coumarate;discreto;sem_relevancia;;;
energy source: creatine;discreto;sem_relevancia;;;
energy source: cysteine;discreto;sem_relevancia;;;
energy source: dihydrogen;discreto;sem_relevancia;;;
energy source: dimethyl disulfide;discreto;sem_relevancia;;;
energy source: dimethyl sulfide;discreto;sem_relevancia;;;
energy source: elemental sulfur;discreto;sem_relevancia;;;
energy source: ethanol;discreto;sem_relevancia;;;
energy source: ferrous ion;discreto;sem_relevancia;;;
energy source: formate;discreto;sem_relevancia;;;
energy source: fructose;discreto;sem_relevancia;;;
energy source: fucose;discreto;sem_relevancia;;;
energy source: galactose;discreto;sem_relevancia;;;
energy source: glucose;discreto;sem_relevancia;;;
energy source: glutamate;discreto;sem_relevancia;;;
energy source: glycerol;discreto;sem_relevancia;;;
energy source: glycerol 1-phosphate;discreto;sem_relevancia;;;
energy source: glycine;discreto;sem_relevancia;;;
energy source: lactate;discreto;sem_relevancia;;;
energy source: manganous ion;discreto;sem_relevancia;;;
energy source: nitrite;discreto;sem_relevancia;;;
energy source: pyruvate;discreto;sem_relevancia;;;
energy source: sulfate;discreto;sem_relevancia;;;
energy source: sulfide;discreto;sem_relevancia;;;
energy source: tetrathionate;discreto;sem_relevancia;;;
energy source: thiosulfate;discreto;sem_relevancia;;;
energy source: tryptone;discreto;sem_relevancia;;;
energy source: tryptophan;discreto;sem_relevancia;;;
energy source: urea;discreto;sem_relevancia;;;
energy source: yeast extract;discreto;sem_relevancia;;;
enzyme activity: 2-nitrophenyl beta-D-galactopyranoside (EC3.2.1.52);discreto;sem_relevancia;;;
enzyme activity: 4-nitrophenyl beta-D-galactopyranoside (EC3.2.1.52);discreto;sem_relevancia;;;
enzyme activity: 6-phospho-beta-galactosidase (EC3.2.1.85);discreto;sem_relevancia;;;
enzyme activity: Alanyl-Phenylalanyl-Proline arylamidase;discreto;sem_relevancia;;;
enzyme activity: DNase;discreto;sem_relevancia;;;
enzyme activity: L-arginine arylamidase;discreto;sem_relevancia;;;
enzyme activity: L-aspartate arylamidase (EC3.4.11.21);discreto;sem_relevancia;;;
enzyme activity: N-acetyl-beta-glucosaminidase (EC3.2.1.52);discreto;sem_relevancia;;;
enzyme activity: N-acetyl-glucosidase;discreto;sem_relevancia;;;
enzyme activity: adenyl cyclase hemolysin;discreto;sem_relevancia;;;
enzyme activity: alanine aminopeptidase;discreto;sem_relevancia;;;
enzyme activity: alanine arylamidase (EC3.4.11.2);discreto;sem_relevancia;;;
enzyme activity: alanine phenylalanin proline arylamidase;discreto;sem_relevancia;;;
enzyme activity: alcohol dehydrogenase (EC1.1.1.1);discreto;sem_relevancia;;;
enzyme activity: alpha-L-rhamnosidase (EC3.2.1.40);discreto;sem_relevancia;;;
enzyme activity: alpha-arabinosidase;discreto;sem_relevancia;;;
enzyme activity: alpha-arabinosidase (EC3.2.1.55);discreto;sem_relevancia;;;
enzyme activity: alpha-chymotrypsin (EC3.4.21.1);discreto;sem_relevancia;;;
enzyme activity: alpha-fucosidase (EC3.2.1.51);discreto;sem_relevancia;;;
enzyme activity: alpha-galactosidase (EC3.2.1.22);discreto;sem_relevancia;;;
enzyme activity: alpha-glucosidase (EC3.2.1.20);discreto;sem_relevancia;;;
enzyme activity: alpha-glucuronidase (EC3.2.1.139);discreto;sem_relevancia;;;
enzyme activity: alpha-maltosidase;discreto;sem_relevancia;;;
enzyme activity: alpha-mannosidase (EC3.2.1.24);discreto;sem_relevancia;;;
enzyme activity: alpha-xylosidase;discreto;sem_relevancia;;;
enzyme activity: arginine arylamidase;discreto;sem_relevancia;;;
enzyme activity: arginine decarboxylase (EC4.1.1.19);discreto;sem_relevancia;;;
enzyme activity: arginine dihydrolase (EC3.5.3.6);discreto;sem_relevancia;;;
enzyme activity: arylsulfatase (EC3.1.6.1);discreto;sem_relevancia;;;
enzyme activity: benzoyl-D-arginine arylamidase (EC3.5.1.72);discreto;sem_relevancia;;;
enzyme activity: beta-D-fucosidase (EC3.2.1.38);discreto;sem_relevancia;;;
enzyme activity: beta-D-galactosidase (EC3.2.1.23);discreto;sem_relevancia;;;
enzyme activity: beta-Galactosidase 6-phosphate;discreto;sem_relevancia;;;
enzyme activity: beta-N-acetylgalactosaminidase;discreto;sem_relevancia;;;
enzyme activity: beta-alanine arylamidase pNA;discreto;sem_relevancia;;;
enzyme activity: beta-fucosidase;discreto;sem_relevancia;;;
enzyme activity: beta-galactopyranosidase;discreto;sem_relevancia;;;
enzyme activity: beta-galactosidase (EC3.2.1.23);discreto;sem_relevancia;;;
enzyme activity: beta-glucoronidase (EC3.2.1.31);discreto;sem_relevancia;;;
enzyme activity: beta-glucosidase (EC3.2.1.21);discreto;sem_relevancia;;;
enzyme activity: beta-glucuronidase (EC3.2.1.31);discreto;sem_relevancia;;;
enzyme activity: beta-lactamase (EC3.5.2.6);discreto;sem_relevancia;;;
enzyme activity: beta-mannosidase (EC3.2.1.25);discreto;sem_relevancia;;;
enzyme activity: beta-xylosidase;discreto;sem_relevancia;;;
enzyme activity: carbohydrates (EC1.14.14.9);discreto;sem_relevancia;;;
enzyme activity: chymotrypsin (EC3.4.4.5);discreto;sem_relevancia;;;
enzyme activity: coagulase;discreto;sem_relevancia;;;
enzyme activity: cystine aminopeptidase (EC3.4.11.3);discreto;sem_relevancia;;;
enzyme activity: cystine arylamidase (EC3.4.11.3);discreto;sem_relevancia;;;
enzyme activity: cytochrome oxidase (EC1.9.3.1);discreto;sem_relevancia;;;
enzyme activity: cytochrome-c oxidase (EC1.9.3.1);discreto;sem_relevancia;;;
enzyme activity: deaminases;discreto;sem_relevancia;;;
enzyme activity: fructose-6-phosphate phosphoketolase (EC4.1.2.22);discreto;sem_relevancia;;;
enzyme activity: gamma-glutamyltransferase (EC2.3.2.2);discreto;sem_relevancia;;;
enzyme activity: glutamate decarboxylase (EC4.1.1.15);discreto;sem_relevancia;;;
enzyme activity: glutamate dehydrogenase (EC1.4.1.4);discreto;sem_relevancia;;;
enzyme activity: glutamyl arylamidase pNA;discreto;sem_relevancia;;;
enzyme activity: glutamyl-glutamate arylamidase;discreto;sem_relevancia;;;
enzyme activity: glu–gly–arg-arylamidase;discreto;sem_relevancia;;;
enzyme activity: glycin arylamidase;discreto;sem_relevancia;;;
enzyme activity: glycyl tryptophan arylamidase;discreto;sem_relevancia;;;
enzyme activity: hippurate hydrolase (EC3.5.1.32);discreto;sem_relevancia;;;
enzyme activity: histidine arylamidase;discreto;sem_relevancia;;;
enzyme activity: lactosidase;discreto;sem_relevancia;;;
enzyme activity: lecithinase;discreto;sem_relevancia;;;
enzyme activity: leucine aminopeptidase (EC3.4.1.1);discreto;sem_relevancia;;;
enzyme activity: leucine arylamidase (EC3.4.11.1);discreto;sem_relevancia;;;
enzyme activity: leucyl glycin arylamidase (EC3.4.11.1);discreto;sem_relevancia;;;
enzyme activity: lysine decarboxylase (EC4.1.1.18);discreto;sem_relevancia;;;
enzyme activity: lysozyme (EC3.2.1.17);discreto;sem_relevancia;;;
enzyme activity: neuramindase (EC3.2.1.18);discreto;sem_relevancia;;;
enzyme activity: ornithine decarboxylase (EC4.1.1.17);discreto;sem_relevancia;;;
enzyme activity: oxoglutarate dehydrogenase (EC1.2.4.2);discreto;sem_relevancia;;;
enzyme activity: peptide synthetase;discreto;sem_relevancia;;;
enzyme activity: phenylalaninase;discreto;sem_relevancia;;;
enzyme activity: phenylalanine arylamidase;discreto;sem_relevancia;;;
enzyme activity: phenylalanine deaminase (EC4.3.1.5);discreto;sem_relevancia;;;
enzyme activity: proline-arylamidase (EC3.4.11.5);discreto;sem_relevancia;;;
enzyme activity: pyrazinamidase (EC3.5.1.B15);discreto;sem_relevancia;;;
enzyme activity: pyroglutamic acid arylamidase;discreto;sem_relevancia;;;
enzyme activity: pyrrolidonyl arylamidase (EC3.4.19.3);discreto;sem_relevancia;;;
enzyme activity: tripeptide aminopeptidase (EC3.4.11.4);discreto;sem_relevancia;;;
enzyme activity: trypsin (EC3.4.21.4);discreto;sem_relevancia;;;
enzyme activity: tryptophan deaminase;discreto;sem_relevancia;;;
enzyme activity: tryptophan deaminase (EC4.1.99.1);discreto;sem_relevancia;;;
enzyme activity: tryptophan decarboxylase (EC4.1.1.27);discreto;sem_relevancia;;;
enzyme activity: tryptophanase (EC4.1.99.1);discreto;sem_relevancia;;;
enzyme activity: tyrosine arylamidase;discreto;sem_relevancia;;;
enzyme activity: valine arylamidase;discreto;sem_relevancia;;;
estimated gene count;numerico;sem_relevancia;;;
estimated genome size;numerico;sem_relevancia;;;
fermentation: 1;2-propandiol;discreto;sem_relevancia;;
fermentation: 2-dehydro-D-gluconate;discreto;sem_relevancia;;;
fermentation: 2-oxogluconate;discreto;sem_relevancia;;;
fermentation: 2-oxoglutarate;discreto;sem_relevancia;;;
fermentation: 3-O-methyl alpha-D-glucopyranoside;discreto;sem_relevancia;;;
fermentation: 4-nitrophenyl beta-D-galactopyranoside;discreto;sem_relevancia;;;
fermentation: 5-dehydro-D-gluconate;discreto;sem_relevancia;;;
fermentation: D-arabinose;discreto;sem_relevancia;;;
fermentation: D-arabitol;discreto;sem_relevancia;;;
fermentation: D-fructose;discreto;sem_relevancia;;;
fermentation: D-fucose;discreto;sem_relevancia;;;
fermentation: D-galactose;discreto;sem_relevancia;;;
fermentation: D-galacturonic acid;discreto;sem_relevancia;;;
fermentation: D-glucose;discreto;sem_relevancia;;;
fermentation: D-lyxose;discreto;sem_relevancia;;;
fermentation: D-mannitol;discreto;sem_relevancia;;;
fermentation: D-mannose;discreto;sem_relevancia;;;
fermentation: D-rhamnose;discreto;sem_relevancia;;;
fermentation: D-ribose;discreto;sem_relevancia;;;
fermentation: D-sorbitol;discreto;sem_relevancia;;;
fermentation: D-xylose;discreto;sem_relevancia;;;
fermentation: L-arabinose;discreto;sem_relevancia;;;
fermentation: L-fructose;discreto;sem_relevancia;;;
fermentation: L-glutamate;discreto;sem_relevancia;;;
fermentation: L-rhamnose;discreto;sem_relevancia;;;
fermentation: N-acetylglucosamine;discreto;sem_relevancia;;;
fermentation: acetate;discreto;sem_relevancia;;;
fermentation: adipate;discreto;sem_relevancia;;;
fermentation: amygdalin;discreto;sem_relevancia;;;
fermentation: arabinitol;discreto;sem_relevancia;;;
fermentation: arabinose;discreto;sem_relevancia;;;
fermentation: arbutin;discreto;sem_relevancia;;;
fermentation: arginine;discreto;sem_relevancia;;;
fermentation: aspartate;discreto;sem_relevancia;;;
fermentation: beef extract;discreto;sem_relevancia;;;
fermentation: beta-d-glucose;discreto;sem_relevancia;;;
fermentation: betaine;discreto;sem_relevancia;;;
fermentation: butanol;discreto;sem_relevancia;;;
fermentation: casamino acids;discreto;sem_relevancia;;;
